date,temperature,humidity,luminosity,pressure
2022-11-17 15:44:44.557,26.8,31.6,172,1014.3
2022-11-17 15:44:39.513,26.8,31.6,269,1014.3
2022-11-17 15:44:34.470,26.8,31.6,60,1014.2
2022-11-17 15:44:29.426,26.9,31.6,61,1014.2
2022-11-17 15:44:24.384,26.9,31.7,61,1014.3
2022-11-17 15:44:19.339,26.9,31.7,53,1014.2
2022-11-17 15:44:14.296,26.8,31.6,61,1014.2
2022-11-17 15:44:09.252,26.8,31.6,61,1014.3
2022-11-17 15:44:04.209,26.9,31.6,60,1014.3
2022-11-17 15:43:59.166,26.9,31.7,54,1014.2
2022-11-17 15:43:54.122,26.9,31.7,61,1014.3
2022-11-17 15:43:49.079,26.9,31.7,61,1014.2
2022-11-17 15:43:44.035,26.9,31.9,61,1014.3
2022-11-17 15:43:38.993,26.9,31.8,61,1014.2
2022-11-17 15:43:33.948,26.9,31.8,61,1014.3
2022-11-17 15:43:28.905,26.9,31.8,61,1014.2
2022-11-17 15:43:23.862,26.9,31.9,61,1014.2
2022-11-17 15:43:18.818,26.9,31.9,61,1014.3
2022-11-17 15:43:13.774,26.9,32.0,60,1014.3
2022-11-17 15:43:08.730,26.9,32.0,60,1014.3
2022-11-17 15:43:03.687,26.9,32.2,61,1014.3
2022-11-17 15:42:58.643,26.9,32.3,60,1014.2
2022-11-17 15:42:53.600,26.9,32.4,61,1014.3
2022-11-17 15:42:48.557,26.9,32.3,60,1014.3
2022-11-17 15:42:43.514,26.9,32.2,60,1014.3
2022-11-17 15:42:38.472,26.9,32.3,61,1014.3
2022-11-17 15:42:33.428,26.9,32.3,61,1014.2
2022-11-17 15:42:28.385,26.9,32.4,61,1014.3
2022-11-17 15:42:23.341,26.9,32.5,60,1014.3
2022-11-17 15:42:18.298,26.9,32.7,61,1014.2
2022-11-17 15:42:13.255,26.9,32.9,61,1014.2
2022-11-17 15:42:08.212,26.9,33.1,58,1014.3
2022-11-17 15:42:03.168,27.0,33.4,61,1014.2
2022-11-17 15:41:58.124,27.0,33.6,61,1014.2
2022-11-17 15:41:53.081,26.9,33.9,61,1014.2
2022-11-17 15:41:48.037,26.9,34.3,62,1014.3
2022-11-17 15:41:42.994,26.9,34.8,61,1014.2
2022-11-17 15:40:37.104,26.6,34.0,704,1014.2
2022-11-17 15:40:32.061,26.6,34.6,239,1014.2
2022-11-17 15:40:27.018,26.6,35.1,238,1014.2
2022-11-17 15:40:21.975,26.5,35.7,245,1014.2
2022-11-17 15:40:16.932,26.6,36.7,252,1014.2
2022-11-17 15:40:11.888,26.5,37.7,88,1014.2
