date,temperature,humidity,luminosity
2022-11-10 16:31:31.062,22.3,36.0,130
2022-11-10 16:31:29.788,22.3,35.9,130
2022-11-10 16:31:28.784,22.3,35.9,130
2022-11-10 16:31:27.505,22.3,35.9,130
2022-11-10 16:31:26.506,22.3,35.9,130
2022-11-10 16:31:25.228,22.3,35.9,130
2022-11-10 16:31:24.224,22.3,35.9,127
2022-11-10 16:31:22.951,22.3,35.8,130
2022-11-10 16:31:21.946,22.3,35.8,133
2022-11-10 16:31:20.669,22.3,35.8,132
2022-11-10 16:31:19.669,22.3,35.8,132
2022-11-10 16:31:18.392,22.3,35.8,132
2022-11-10 16:31:17.388,22.3,35.8,132
2022-11-10 16:31:16.113,22.3,35.8,132
2022-11-10 16:31:15.110,22.3,35.8,128
2022-11-10 16:31:13.832,22.3,35.7,128
2022-11-10 16:31:12.833,22.3,35.7,128
2022-11-10 16:31:11.555,22.3,35.7,128
2022-11-10 16:31:10.556,22.3,35.7,128
2022-11-10 16:31:09.277,22.3,35.7,131
2022-11-10 16:31:08.273,22.3,35.7,123
2022-11-10 16:31:06.999,22.3,35.6,126
2022-11-10 16:31:05.996,22.3,35.6,134
2022-11-10 16:31:04.719,22.3,35.6,134
2022-11-10 16:31:03.719,22.3,35.6,133
2022-11-10 16:31:02.441,22.3,35.7,134
2022-11-10 16:31:01.436,22.3,35.7,136
2022-11-10 16:31:00.162,22.3,35.7,135
2022-11-10 16:30:59.159,22.3,35.7,128
2022-11-10 16:30:57.881,22.3,35.7,124
2022-11-10 16:30:56.881,22.3,35.7,123
2022-11-10 16:30:55.603,22.3,35.7,121
2022-11-10 16:30:54.601,22.3,35.7,134
2022-11-10 16:30:53.325,22.3,35.7,134
2022-11-10 16:30:52.322,22.3,35.7,134
2022-11-10 16:30:51.044,22.3,35.7,134
2022-11-10 16:30:50.045,22.3,35.7,125
2022-11-10 16:30:48.766,22.3,35.8,125
2022-11-10 16:30:47.767,22.3,35.8,126
2022-11-10 16:30:46.489,22.3,35.7,127
2022-11-10 16:30:45.485,22.3,35.7,125
2022-11-10 16:30:44.212,22.3,35.7,133
2022-11-10 16:30:43.208,22.3,35.7,132
2022-11-10 16:30:41.929,22.3,35.6,133
2022-11-10 16:30:40.930,22.3,35.6,133
2022-11-10 16:30:39.652,22.3,35.7,133
2022-11-10 16:30:38.649,22.3,35.7,133
2022-11-10 16:30:37.374,22.3,35.6,133
2022-11-10 16:30:36.372,22.3,35.6,133
2022-11-10 16:30:35.093,22.3,35.6,133
2022-11-10 16:30:34.094,22.3,35.6,133
2022-11-10 16:30:32.815,22.3,35.6,133
2022-11-10 16:30:31.812,22.3,35.6,132
2022-11-10 16:30:30.538,22.4,35.7,133
2022-11-10 16:30:29.534,22.4,35.7,127
2022-11-10 16:30:28.260,22.4,35.7,126
2022-11-10 16:30:27.257,22.4,35.7,130
2022-11-10 16:30:25.979,22.4,35.6,133
2022-11-10 16:30:24.980,22.4,35.6,134
2022-11-10 16:30:23.701,22.4,35.6,122
2022-11-10 16:30:22.698,22.4,35.6,129
2022-11-10 16:30:21.423,22.4,35.6,133
2022-11-10 16:30:20.419,22.4,35.6,134
2022-11-10 16:30:19.145,22.4,35.6,134
2022-11-10 16:30:18.142,22.4,35.6,133
2022-11-10 16:30:16.864,22.4,35.6,134
2022-11-10 16:30:15.865,22.4,35.6,134
2022-11-10 16:30:14.587,22.4,35.6,135
2022-11-10 16:30:13.584,22.4,35.6,130
2022-11-10 16:30:12.309,22.4,35.7,122
2022-11-10 16:30:11.305,22.4,35.7,130
2022-11-10 16:30:10.032,22.4,35.7,131
2022-11-10 16:30:09.028,22.4,35.7,132
2022-11-10 16:30:07.749,22.4,35.7,123
2022-11-10 16:30:06.751,22.4,35.7,123
2022-11-10 16:30:05.472,22.5,35.7,124
2022-11-10 16:30:04.469,22.5,35.7,123
2022-11-10 16:30:03.194,22.5,35.7,126
2022-11-10 16:30:02.192,22.5,35.7,124
2022-11-10 16:30:00.917,22.5,35.8,125
2022-11-10 16:29:59.914,22.5,35.8,125
2022-11-10 16:29:58.635,22.5,35.8,125
2022-11-10 16:29:57.636,22.5,35.8,126
2022-11-10 16:29:56.358,22.5,35.9,125
2022-11-10 16:29:55.355,22.5,35.9,125
2022-11-10 16:29:54.081,22.5,35.9,125
2022-11-10 16:29:53.077,22.5,35.9,125
2022-11-10 16:29:51.799,22.5,35.9,125
2022-11-10 16:29:50.799,22.5,35.9,125
2022-11-10 16:29:49.522,22.5,36.0,126
2022-11-10 16:29:48.522,22.5,36.0,126
2022-11-10 16:29:47.244,22.5,36.0,125
2022-11-10 16:29:46.240,22.5,36.0,126
2022-11-10 16:29:44.966,22.5,36.0,126
2022-11-10 16:29:43.962,22.5,36.0,126
2022-11-10 16:29:42.684,22.5,36.0,126
2022-11-10 16:29:41.684,22.5,36.0,132
2022-11-10 16:29:40.406,22.5,36.0,109
2022-11-10 16:29:39.408,22.5,36.0,126
2022-11-10 16:29:38.128,22.5,36.0,130
2022-11-10 16:29:37.125,22.5,36.0,119
2022-11-10 16:29:35.852,22.5,36.1,119
2022-11-10 16:29:34.848,22.5,36.1,109
2022-11-10 16:29:33.570,22.5,36.1,135
2022-11-10 16:29:32.570,22.5,36.1,135
2022-11-10 16:29:31.292,22.5,36.1,134
2022-11-10 16:29:30.289,22.5,36.1,133
2022-11-10 16:29:29.014,22.5,36.1,135
2022-11-10 16:29:28.010,22.5,36.1,135
2022-11-10 16:29:26.737,22.5,36.1,134
2022-11-10 16:29:25.733,22.5,36.1,134
2022-11-10 16:29:24.455,22.5,36.1,135
2022-11-10 16:29:23.455,22.5,36.1,135
2022-11-10 16:29:22.178,22.5,36.1,135
2022-11-10 16:29:21.175,22.5,36.1,134
2022-11-10 16:29:19.900,22.5,36.0,134
2022-11-10 16:29:18.896,22.5,36.0,134
2022-11-10 16:29:17.618,22.5,36.0,134
2022-11-10 16:29:16.618,22.5,36.0,135
2022-11-10 16:29:15.341,22.5,36.1,135
2022-11-10 16:29:14.341,22.5,36.1,135
2022-11-10 16:29:13.064,22.5,36.1,134
2022-11-10 16:29:12.060,22.5,36.1,135
2022-11-10 16:29:10.786,22.5,36.1,135
2022-11-10 16:29:09.782,22.5,36.1,135
2022-11-10 16:29:08.504,22.5,36.1,134
2022-11-10 16:29:07.505,22.5,36.1,134
2022-11-10 16:29:06.227,22.5,36.1,134
2022-11-10 16:29:05.222,22.5,36.1,135
2022-11-10 16:29:03.949,22.5,36.1,134
2022-11-10 16:29:02.946,22.5,36.1,134
2022-11-10 16:29:01.667,22.5,36.1,135
2022-11-10 16:29:00.668,22.5,36.1,134
2022-11-10 16:28:59.390,22.5,36.1,135
2022-11-10 16:28:58.391,22.5,36.1,135
2022-11-10 16:28:57.112,22.5,36.1,135
2022-11-10 16:28:56.108,22.5,36.1,135
2022-11-10 16:28:54.835,22.5,36.1,135
2022-11-10 16:28:53.832,22.5,36.1,135
2022-11-10 16:28:52.553,22.5,36.0,134
2022-11-10 16:28:51.554,22.5,36.0,134
2022-11-10 16:28:50.275,22.5,35.9,135
2022-11-10 16:28:49.271,22.5,35.9,135
2022-11-10 16:28:47.998,22.5,35.9,134
2022-11-10 16:28:46.995,22.5,35.9,134
2022-11-10 16:28:45.721,22.5,35.9,135
2022-11-10 16:28:44.716,22.5,35.9,135
2022-11-10 16:28:43.438,22.5,35.9,134
2022-11-10 16:28:42.438,22.5,35.9,134
2022-11-10 16:28:41.160,22.5,35.9,135
2022-11-10 16:28:40.157,22.5,35.9,135
2022-11-10 16:28:38.883,22.4,35.9,135
2022-11-10 16:28:37.880,22.4,35.9,134
2022-11-10 16:28:36.602,22.4,35.8,135
2022-11-10 16:28:35.602,22.4,35.8,134
2022-11-10 16:28:34.324,22.4,35.8,134
2022-11-10 16:28:33.324,22.4,35.8,135
2022-11-10 16:28:32.047,22.4,35.8,135
2022-11-10 16:28:31.043,22.4,35.8,134
2022-11-10 16:28:29.769,22.4,35.8,134
2022-11-10 16:28:28.765,22.4,35.8,135
2022-11-10 16:28:27.487,22.4,35.8,135
2022-11-10 16:28:26.488,22.4,35.8,134
2022-11-10 16:28:25.209,22.4,35.8,134
2022-11-10 16:28:24.206,22.4,35.8,134
2022-11-10 16:28:22.931,22.4,35.8,134
2022-11-10 16:28:21.929,22.4,35.8,134
2022-11-10 16:28:20.655,22.4,35.8,135
2022-11-10 16:28:19.650,22.4,35.8,135
2022-11-10 16:28:18.373,22.4,35.8,134
2022-11-10 16:28:17.373,22.4,35.8,134
2022-11-10 16:28:16.095,22.4,35.8,134
2022-11-10 16:28:15.092,22.4,35.8,135
2022-11-10 16:28:13.818,22.4,35.8,134
2022-11-10 16:28:12.815,22.4,35.8,134
2022-11-10 16:28:11.537,22.4,35.8,134
2022-11-10 16:28:10.537,22.4,35.8,134
2022-11-10 16:28:09.258,22.4,35.8,134
2022-11-10 16:28:08.259,22.4,35.8,134
2022-11-10 16:28:06.981,22.4,35.8,134
2022-11-10 16:28:05.978,22.4,35.8,134
2022-11-10 16:28:04.703,22.4,35.7,134
2022-11-10 16:28:03.700,22.4,35.7,134
2022-11-10 16:28:02.421,22.4,35.7,135
2022-11-10 16:28:01.422,22.4,35.7,134
2022-11-10 16:28:00.144,22.4,35.7,133
2022-11-10 16:27:59.144,22.4,35.7,134
2022-11-10 16:27:57.866,22.4,35.7,135
2022-11-10 16:27:56.862,22.4,35.7,135
2022-11-10 16:27:55.589,22.4,35.7,135
2022-11-10 16:27:54.586,22.4,35.7,134
2022-11-10 16:27:53.307,22.5,35.7,134
2022-11-10 16:27:52.307,22.5,35.7,134
2022-11-10 16:27:51.029,22.5,35.7,134
2022-11-10 16:27:50.027,22.5,35.7,135
2022-11-10 16:27:48.753,22.5,35.7,135
2022-11-10 16:27:47.749,22.5,35.7,134
2022-11-10 16:27:46.475,22.5,35.7,135
2022-11-10 16:27:45.471,22.5,35.7,135
2022-11-10 16:27:44.192,22.5,35.8,135
